Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
693,,,,,Phytochemistry,https://pubmed.ncbi.nlm.nih.gov/20655556/,Protect from harm,Protect from living threats,"Protect from animals,Protect from fungi,Protect from microbes","Protect from animals,Protect from fungi,Protect from microbes",
694,,,,,Biological Bulletin,https://pubmed.ncbi.nlm.nih.gov/20570851/,"Chemically modify or Change energy state,Protect from harm","Chemically assemble,Protect from living threats","Self-assemble,Protect from animals","Chemically assemble on demand,Protect from animals",
695,,,,,Journal of Structural Biology,https://pubmed.ncbi.nlm.nih.gov/20433929/,"Maintain structural integrity,Protect from harm","Prevent structural failure,Protect from living threats","Prevent deformation,Prevent fracture/rupture,Protect from animals","Prevent deformation,Prevent fracture/rupture,Protect from animals",
696,,,,,New Phytologist,https://pubmed.ncbi.nlm.nih.gov/20298484/,Protect from harm,Protect from living threats,Protect from animals,"Cooperate within an ecosystem,Protect from animals",https://www.sciencedaily.com/releases/2010/03/100309202931.htm
698,,,,,"For the Love of Insects,Medical and Veterinary Entomology",https://pubmed.ncbi.nlm.nih.gov/19712151/,Protect from harm,Protect from living threats,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",
699,,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Science,Journal of Orthoptera Research",https://pubmed.ncbi.nlm.nih.gov/19179529/,"Maintain ecological community,""Sense, send, or process information""","Individual benefit,Sense signals/environmental cues","Coordinate by self-organization,Sense touch and mechanical forces","Coordinate activities,Coordinate by self-organization,Sense touch and mechanical forces in a living system",
700,,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Science,Journal of Orthoptera Research",https://bioone.org/journals/Journal-of-Orthoptera-Research/volume-14/issue-2/1082-6467(2005)14[223:DLGACK]2.0.CO;2/Desert-locust-gregarization-a-conceptual-kinetic-model/10.1665/1082-6467(2005)14[223:DLGACK]2.0.CO;2.full,"Maintain ecological community,""Sense, send, or process information""","Individual benefit,Sense signals/environmental cues","Coordinate by self-organization,Sense touch and mechanical forces","Coordinate activities,Coordinate by self-organization,Sense touch and mechanical forces in a living system",
701,,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Molecular Biology and Evolution",https://pubmed.ncbi.nlm.nih.gov/17703050/,Attach,Attach permanently,,Attach permanently,
702,,,,,Plant and Cell Physiology,https://pubmed.ncbi.nlm.nih.gov/17504814/,"Physically assemble/disassemble,Chemically modify or Change energy state,Maintain structural integrity","Optimize shape/materials,Chemically assemble,Manage structural forces","Chemically assemble organic compounds,Manage stress/strain",Modify position,
703,,,,,Photosynthesis Research,https://pubmed.ncbi.nlm.nih.gov/17497225/,Process resources,Absorb and/or filter resources,Absorb and/or filter gases,"""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter gases""",
704,,,,,Current Opinion in Biotechnology,https://pubmed.ncbi.nlm.nih.gov/17493798/,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
707,,,,,The Journal of Biochemistry,https://pubmed.ncbi.nlm.nih.gov/16963787/,"""Sense, send, or process information""",Send signals,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
708,,,,,Microbial Ecology,https://pubmed.ncbi.nlm.nih.gov/16944346/,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
710,,,,,"""Infection, Genetics and Evolution"",Biophysical Journal",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1301312/,Protect from harm,Protect from non-living threats,Protect from ice,Modify phase,
711,,,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/16711845/,"""Sense, send, or process information"",Chemically modify or Change energy state","Send signals,Change energy state","Send light signals in the visible spectrum,Modify/convert light energy","Send light signals in the visible spectrum,Transform radiant energy (light)",
712,,,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/16461386/,"""Sense, send, or process information"",Chemically modify or Change energy state","Send signals,Change energy state","Send light signals in the non-visible spectrum,Modify/convert thermal energy","Send light signals in the non-visible spectrum,Transform thermal energy",
713,,,,,Annals of Botany,https://pubmed.ncbi.nlm.nih.gov/16287905/,Process resources,Distribute resources,Distribute solids,"Disperse seeds,Distribute solids",
714,,,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/15697629/,Protect from harm,Protect from non-living threats,Protect from light,Protect from light,https://www.newscientist.com/article/mg19626285-100-slap-on-the-edelweiss-for-the-ultimate-sunscreen/
715,,,,,Journal of Comparative Physiology B,https://pubmed.ncbi.nlm.nih.gov/15578188/,"Process resources,Protect from harm","Expel resources,Protect from non-living threats","Expel gases,Protect from chemicals","Cycle nutrients,Expel gases,Maintain homeostasis,Modify phase,Protect from chemicals",
716,,,,,"How Life Learned to Live: Adaptation in Nature,Naturwissenschaften",https://pubmed.ncbi.nlm.nih.gov/15257392/,"Physically assemble/disassemble,""Sense, send, or process information""","Physically assemble structure,Optimize shape/materials",Sense shape and/or pattern,"Physically assemble structure,Sense shape and pattern in a living system",
717,,,,,Journal of Morphology,https://pubmed.ncbi.nlm.nih.gov/15164371/,"Move,Process resources","Store resources,Active movement,Passive movement","Store energy,Actively move through/on liquids,Passively move through gases","Move in/on liquids,Store energy",
718,,,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/14740100/,"Physically assemble/disassemble,""Sense, send, or process information""","Optimize shape/materials,Sense signals/environmental cues",Sense light in the visible spectrum,"Optimize shape/materials,Sense light (visible spectrum) from the environment",
719,,,,,Science,https://pubmed.ncbi.nlm.nih.gov/14716016/,Change size or color,Modify color,Change chemical color/pigmentation,Modify light/color,https://issuu.com/eggermont/docs/zq_issue_04_final/10?e=15278665/11095718
720,,,,,Rapid Commun Mass Spectrom.,https://pubmed.ncbi.nlm.nih.gov/12717761/,Protect from harm,Protect from non-living threats,"Protect from light,Protect from loss of liquids","Protect from light,Protect from loss of liquids",
721,,,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/12231662/,Protect from harm,Protect from non-living threats,Protect from temperature,"Modify material characteristics,Protect from temperature",https://www.newscientist.com/article/mg13818692-400-science-how-plants-prepare-for-the-cold-of-night/
722,,,,,Science,https://pubmed.ncbi.nlm.nih.gov/11935026/,"Process resources,""Sense, send, or process information"",Maintain ecological community","Expel resources,Send signals,Group benefit","Send chemical signals,Expel liquids,Manage populations/pests/diseases","""Send chemical signals (odor, taste, etc.)""",
723,,,,,Biosensors and Bioelectronics,https://pubmed.ncbi.nlm.nih.gov/11849930/,"Protect from harm,Change size or color","Protect from living threats,Protect from non-living threats,Modify color","Protect from animals,Protect from light,Protect from temperature,Sense chemicals,Change chemical color/pigmentation","Modify light/color,Protect from animals,Protect from light,Protect from temperature,""Sense chemicals (odor, taste, etc.) from the environment""",https://www.newscientist.com/article/mg17323323-900-amphibian-detectives/
724,,,,,Journal of Investigative Dermatology,https://pubmed.ncbi.nlm.nih.gov/11676819/,Physically assemble/disassemble,Physically assemble structure,,Physically assemble structure,
725,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Botany",https://pubmed.ncbi.nlm.nih.gov/11141182/,Protect from harm,Protect from non-living threats,Protect from wind,Protect from wind,
726,10.1007/PL00008153,Simulating ozone detoxification in the leaf apoplast through the direct reaction with ascorbate,"This paper presents a mathematical model which enables the semi-quantification of ozone (O3) detoxification, based upon the direct reaction of the pollutant with ascorbate (ASC) located in the aqueous matrix associated with the cell wall (i.e. the apoplast). The model describes the uptake of ozone into the leaf and its direct reaction with ASC, taking into consideration the regeneration of dehydroascorbic acid in the cytosol, the rate of replenishment of cell wall ASC and the distribution of ASC between sub-cellular compartments based upon the permeability of biomembranes to the neutral species, ascorbic acid and the pH of various sub-cellular compartments. The importance of various physico-chemical characteristics (e.g. stomatal conductance, mesophyll cell wall thickness and tortuosity, chloroplast volume, apoplast pH, ASC:O3 reaction stoichiometry) in mediating the flux of ozone to the plasmalemma is analysed. Model simulations, supported by experimental observations, suggest that the ASC concentration in the leaf apoplast is high enough to scavenge a significant proportion of the O3 taken up into the leaf interior, under environmentally relevant conditions. However, there is considerable variation between taxa in the potential degree of protection afforded by apoplastic ASC, emphasizing the need for an improved understanding of the reaction chemistry of O3 in the cell wall.",,"Planta,Environmental Pollution and Plant Responses",https://pubmed.ncbi.nlm.nih.gov/10750904/,"Process resources,Protect from harm","Expel resources,Protect from non-living threats,Capture resources,Absorb and/or filter resources,Store resources,Detox/purify","Protect from gases,Protect from radiation,Capture gases,Absorb and/or filter gases,Store gases","Expel gases,""Capture, absorb, or filter chemical entities""",
727,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9787125/,Maintain structural integrity,Prevent structural failure,Prevent buckling,Prevent buckling,
728,,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9547323/,"""Sense, send, or process information""","Sense signals/environmental cues,Process signals","Sense light in the non-visible spectrum,Sense light in the visible spectrum,Sense shape and/or pattern,Convert signals","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system,Transduce/convert signals",
