,index,DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
561,561,,,,"Hydrobiologia,Limnology and Oceanography,Trends in Ecology & Evolution,Water Science and Technology,Environmental Evidence,Agroforestry Systems","https://link.springer.com/article/10.1023%2FA%3A1017506914063?LI=true
https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2012.57.1.0221
https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(05)00378-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0169534705003782%3Fshowall%3Dtrue
https://iwaponline.com/wst/article/35/5/11/6055/Do-macrophytes-play-a-role-in-constructed
https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0060-0
https://link.springer.com/article/10.1023/A:1006203318425",,,"Control erosion,Detox/purify","Control erosion and sediment,Cycle nutrients,Detoxification/purification of air/water/waste",
562,562,,,,"Planta,Mycopathologica","https://link.springer.com/article/10.1023/A:1023334628751
https://www.jstor.org/stable/23384962?seq=1#page_scan_tab_contents",,,Protect from fungi,Protect from fungi,
563,563,,,,"Photosynthesis Research,Carbon Dioxide Fixation","https://link.springer.com/article/10.1023/A:1022421515027
https://www.osti.gov/biblio/752960",,,"Catalyze chemical breakdown,Chemically assemble organic compounds,Chemically break down inorganic compounds","Catalyze chemical breakdown,Chemically assemble organic compounds,Chemically break down inorganic compounds",
564,564,,,,Antonie van Leeuwenhoek,https://link.springer.com/article/10.1023/A:1020587206351,,,,Modify oxidation state,
565,565,,,,The Private Life of Plants,https://link.springer.com/article/10.1023/A:1009223730317,,,"Attach permanently,Manage wear","Attach permanently,Manage mechanical wear",
566,566,,,,Agroforestry Systems,https://link.springer.com/article/10.1023/A:1006259402496,,,Maintain biodiversity,Maintain biodiversity,
567,567,,,,Agroforestry Systems,https://link.springer.com/article/10.1023/A:1006243032538,,,Protect from loss of liquids,Protect from loss of liquids,
568,568,,,,"Biodiversity and Ecosystem Function,Agroforestry Systems",https://link.springer.com/article/10.1023/A:1006203318425,,,"Manage environmental disturbances,Protect from animals","Manage disturbance in a community,Protect from animals",
569,569,,,,"Journal of Bionic Engineering,Beilstein Journal of Nanotechnology","https://link.springer.com/article/10.1016%2FS1672-6529%2811%2960018-8
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148053/",,,Sense light in the non-visible spectrum,Sense light (non-visible spectrum) from the environment,
570,570,,,,Journal of Bionic Engineering,https://link.springer.com/article/10.1016%2FS1672-6529%2811%2960014-0,,,Move through gases,Move in/through gases,
571,571,,,,"Journal of Bionic Engineering,Journal of Micromechanics and Microengineering","https://link.springer.com/article/10.1016%2FS1672-6529%2807%2960015-8
https://iopscience.iop.org/article/10.1088/0960-1317/15/7/011",,,Sense touch and mechanical forces,Sense touch and mechanical forces in a living system,
572,572,,,,"Journal of Bionic Engineering,Plant Ecology,Philosophical Transactions of the Royal Society A,""Plant, Cell & Environment""","https://link.springer.com/article/10.1016%2FS1672-6529%2807%2960008-0
https://link.springer.com/article/10.1007/s11258-014-0401-4
https://royalsocietypublishing.org/doi/full/10.1098/rsta.2009.0003
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3040.2009.02066.x",,,"Change size/shape,Protect from animals","Modify size/shape/mass/volume,Protect from animals",
573,573,,,,Journal of Bionic Engineering,https://link.springer.com/article/10.1016/S1672-6529(10)60252-1,,,"Protect from temperature,Protect from wind,""Capture, absorb, or filter energy""","Protect from temperature,Protect from wind,""Capture, absorb, or filter energy""",
574,574,,,,Extremophiles,"https://link.springer.com/article/10.1007%2Fs007920050010
https://pubmed.ncbi.nlm.nih.gov/18286223/",,,Protect from temperature,Protect from temperature,
575,575,,,,"The Secret Garden: Dawn to Dusk in the Astonishing Hidden World of the Garden,The Hidden Powers of Animals: Uncovering the Secrets of Nature,Zoomorphology",https://link.springer.com/article/10.1007%2Fs004350050084,,,"Protect from animals,Sense motion,Sense sound/vibrations","Protect from animals,Sense motion,Sense sound and other vibrations from the environment",
576,576,,,,"Planta,Functional Plant Biology","https://link.springer.com/article/10.1007%2Fs004250100576
https://www.publish.csiro.au/fp/FP06139",,,,Modify material characteristics,
577,577,,,,Marine Biology,https://link.springer.com/article/10.1007%2Fs002270000466,,,"Manage wear,Move through/on liquids","Manage mechanical wear,Move in/on liquids",
578,578,,,,"The Biology of Mangroves and Seagrasses,Insectes Sociaux",https://link.springer.com/article/10.1007%2Fs000400050026,,,Protect from excess liquids,Protect from excess liquids,
579,579,,,,Applied Biochemistry and Biotechnology,https://link.springer.com/article/10.1007%2Fs12010-008-8286-0,,,Chemically break down organic compounds,Chemically break down organic compounds,
580,580,,,,"Comparative Biomechanics: Life's Physical World,""The Journal of The Minerals, Metals & Materials Society"",Acta Biomaterialia,Journal of Biomechanics,Bone","https://link.springer.com/article/10.1007%2Fs11837-010-0009-7
https://www.sciencedirect.com/science/article/abs/pii/S1742706108002857?via%3Dihub
https://www.sciencedirect.com/science/article/abs/pii/0021929096000012
https://www.sciencedirect.com/science/article/abs/pii/S8756328207005662
",,,Prevent fracture/rupture,Prevent fracture/rupture,
581,581,,,,"Arthropod-Plant Interactions,Current Biology","https://link.springer.com/article/10.1007%2Fs11829-007-9002-7
https://www.cell.com/current-biology/fulltext/S0960-9822(09)01050-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982209010501%3Fshowall%3Dtrue",,,Respond to signals,Respond to signals,
582,582,,,,Evolutionary Biology,https://link.springer.com/article/10.1007%2Fs11692-009-9069-4?LI=true,,,"Respond to signals,Sense chemicals","Respond to signals,""Sense chemicals (odor, taste, etc.) from the environment""",
583,583,,,,World Journal of Microbiology and Biotechnology,https://link.springer.com/article/10.1007%2Fs11274-007-9345-3,,,Chemically break down organic compounds,Chemically break down organic compounds,
584,584,,,,Journal of Applied Phycology,https://link.springer.com/article/10.1007%2Fs10811-010-9505-y,,,Protect from light,Protect from light,
585,585,,,,Bioscience Reports,https://link.springer.com/article/10.1007%2Fs10540-005-2887-4,,,Modify/convert thermal energy,Transform thermal energy,
586,586,,,,Biogeochemistry,https://link.springer.com/article/10.1007%2Fs10533-005-4279-z,,,Protect from chemicals,"Cycle nutrients,Protect from chemicals",
587,587,,,,"Microfluidics and Nanofluidics,PNAS","https://link.springer.com/article/10.1007%2Fs10404-007-0163-6
https://www.pnas.org/content/12/3/207",,,"Distribute gases,Distribute liquids","Distribute gases,Distribute liquids",
588,588,,,,"Journal of Ethology,Arthropod Structure & Development","https://link.springer.com/article/10.1007%2Fs10164-010-0222-4
https://www.sciencedirect.com/science/article/abs/pii/S1467803905000253?via%3Dihub
https://www.sciencedirect.com/science/article/abs/pii/S1467803907000266?via%3Dihub",,,"Attach temporarily,Move through/on solids,""Capture, absorb, or filter organisms""","Attach temporarily,Move in/on solids,""Capture, absorb, or filter organisms""",http://news.bbc.co.uk/earth/hi/earth_news/newsid_8795000/8795703.stm
589,589,,,,"Mycorrhiza,Annals of Botany","https://link.springer.com/article/10.1007%2Fs00572-013-0529-4
https://academic.oup.com/aob/article/104/7/1263/165667",,,"Compete within/between species,Protect from chemicals,""Capture, absorb, or filter chemical entities""","Cooperate/compete between different species,Protect from chemicals,""Capture, absorb, or filter chemical entities""",
590,590,,,,"Oecologia,The Private Life of Plants",https://link.springer.com/article/10.1007%2Fs00442-012-2575-6,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
591,591,,,,"Oecologia,Journal of Vegetation Science","https://link.springer.com/article/10.1007%2Fs00442-006-0614-x
https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2002.tb02093.x",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
592,592,,,,Zoomorphology,https://link.springer.com/article/10.1007%2Fs00435-012-0165-0,,,"Attach permanently,Distribute energy","Attach permanently,Distribute energy",https://io9.gizmodo.com/how-exactly-could-a-squid-inseminate-your-mouth-5921501
593,593,,,,"Planta,Journal of Experimental Biology (JEB)","https://link.springer.com/article/10.1007%2Fs00425-010-1270-2
https://jeb.biologists.org/content/211/16/2647",,,"Attach permanently,Attach temporarily","Attach permanently,Attach temporarily",
594,594,,,,"The Private Life of Plants,Planta",https://link.springer.com/article/10.1007%2Fs00425-008-0766-5,,,"Protect from loss of liquids,Protect from temperature","Protect from loss of liquids,Protect from temperature",
595,595,,,,Planta,https://link.springer.com/article/10.1007%2Fs00425-001-0718-9,,,,Manage tension,
596,596,,,,"Histochemistry and Cell Biology,Gene","https://link.springer.com/article/10.1007%2Fs00418-011-0904-1
https://www.sciencedirect.com/science/article/abs/pii/S0378111915015735?via%3Dihub",,,"Distribute liquids,Distribute solids,Expel liquids,Expel solids,Protect from solids,Protect from excess liquids,Protect from microbes,Regulate reproduction or growth","Distribute liquids,Distribute solids,Expel liquids,Expel solids,Protect from dirt/solids,Protect from excess liquids,Protect from microbes,Regulate cellular processes,Regulate reproduction or growth",
597,597,,,,"The grand design: Form and colour in animals,Journal of Experimental Biology (JEB),Journal of Comparative Physiology B","https://link.springer.com/article/10.1007%2Fs00360-010-0470-1
https://jeb.biologists.org/content/210/15/2593.long",,,Move through gases,Move in/through gases,
598,598,,,,Journal of comparative physiology,https://link.springer.com/article/10.1007%2Fs00359-010-0556-y,,,"Manage wear,Prevent fatigue","Manage mechanical wear,Prevent fatigue",
599,599,,,,"Journal of Comparative Physiology A,Chemoecology","https://link.springer.com/article/10.1007%2Fs00359-010-0522-8
https://link.springer.com/article/10.1007%2Fs00049-011-0077-3",,,Attach temporarily,Attach temporarily,
600,600,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Comparative Physiology A",https://link.springer.com/article/10.1007%2Fs00359-005-0063-8,,,"Sense spatial awareness/balance/orientation,Sense electricity/magnetism","Modify position,Sense balance/orientation,Sense electricity/magnetism from the environment",
601,601,,,,Applied Microbiology and Biotechnology,https://link.springer.com/article/10.1007%2Fs00253-008-1778-6,,,Chemically break down organic compounds,"Chemically break down organic compounds,Modify reactivity with water",
602,602,,,,Applied Microbiology and Biotechnology,https://link.springer.com/article/10.1007%2Fs00253-002-0938-3,,,Chemically break down organic compounds,Chemically break down organic compounds,
603,603,,,,Marine Biology,https://link.springer.com/article/10.1007%2Fs00227-004-1334-6,,,"Cooperate within/between species,Manage wear,Move through/on solids,Protect from animals,Protect from solids","Cooperate within the same species,Manage mechanical wear,Move in/on solids,Protect from animals,Protect from dirt/solids",
604,604,,,,Wood Science and Technology,https://link.springer.com/article/10.1007%2Fs00226-005-0065-2,,,Catalyze chemical breakdown,Catalyze chemical breakdown,
605,605,,,,Naturwissenschaften,https://link.springer.com/article/10.1007%2Fs00114-009-0596-8,,,Protect from animals,"Protect from animals,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
606,606,,,,"Naturwissenschaften,Plant Ecology and Evolution,Science","https://link.springer.com/article/10.1007%2Fs00114-008-0472-y
https://www.ingentaconnect.com/contentone/botbel/plecevo/2016/00000149/00000002/art00001
https://www.ingentaconnect.com/contentone/botbel/plecevo/2017/00000150/00000001/art00010
https://science.sciencemag.org/content/201/4356/614",,,"Distribute liquids,""Capture, absorb, or filter liquids""","Distribute liquids,""Capture, absorb, or filter liquids""",
607,607,,,,Naturwissenschaften,https://link.springer.com/article/10.1007%2Fs00114-005-0069-7,,,"Distribute gases,""Capture, absorb, or filter chemical entities""","Chemically assemble mineral crystals,Distribute gases,""Capture, absorb, or filter chemical entities""",
608,608,,,,Chemoecology,https://link.springer.com/article/10.1007%2Fs00049-010-0059-x,,,"Physically assemble structure,Protect from animals,Protect from microbes","Chemically assemble molecular devices,Physically assemble structure,Protect from animals,Protect from microbes",
609,609,,,,Chemoecology,https://link.springer.com/article/10.1007%2Fs00049-010-0054-2,,,"Protect from animals,Protect from microbes","Protect from animals,Protect from microbes",
610,610,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Primates",https://link.springer.com/article/10.1007%2FBF02381090,,,"Protect from animals,Protect from fungi,Protect from microbes","Protect from animals,Protect from fungi,Protect from microbes",
611,611,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Experientia,Olfaction and Taste: Proceedings of the Third International Symposium","https://link.springer.com/article/10.1007%2FBF02135966
https://books.google.com/books?id=ILFpAAAAMAAJ&lpg=PR11&ots=3pmzsRwISC&dq=Olfaction%20and%20Taste%3A%20Proceedings%20of%20the%20Third%20International%20Symposium&lr&pg=PR11#v=onepage&q=Olfaction%20and%20Taste:%20Proceedings%20of%20the%20Third%20International%20Symposium&f=false",,,Sense light in the non-visible spectrum,Sense light (non-visible spectrum) from the environment,
612,612,,,,"Zoomorphology,Annual Review of Entomology","https://link.springer.com/article/10.1007%2FBF01632816
https://www.annualreviews.org/doi/10.1146/annurev-ento-112408-085338",,,Change size/shape,"Modify position,Modify size/shape/mass/volume",
613,613,,,,"Comparative Biomechanics: Life's Physical World,Protoplasma,Life at Small Scale: The Behavior of Microbes",https://link.springer.com/article/10.1007%2FBF01279256,,,"Cooperate within/between species,Coordinate by self-organization,Move through/on solids","Cooperate within the same species,Coordinate by self-organization,Move in/on solids,Navigate over land",
614,614,,,,"The grand design: Form and colour in animals,International Journal of Biometeorology",https://link.springer.com/article/10.1007%2FBF01049065,,,Protect from temperature,"Maintain homeostasis,Protect from temperature",
615,615,,,,Journal of comparative physiology,https://link.springer.com/article/10.1007%2FBF00692371,,,Expel solids,"Expel solids,Maintain homeostasis",
616,616,,,,"Journal of Comparative Physiology A,Animal Eyes",https://link.springer.com/article/10.1007%2FBF00660177,,,"Modify color,""Capture, absorb, or filter energy""","Modify light/color,""Capture, absorb, or filter energy""",
617,617,,,,Journal of Comparative Physiology A,"https://link.springer.com/article/10.1007%2FBF00615085?LI=true
https://link.springer.com/article/10.1007%2FBF00611243?LI=true",,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
618,618,,,,Journal of Comparative Physiology A,https://link.springer.com/article/10.1007%2FBF00610867,,,"Cooperate within/between species,Send sound signals","Cooperate within the same species,Navigate through air,Send sound signals",
